bucket_size;threads;algorithm;generating;splitting;sorting;writing;overall
35;1;3;0.050181;0.152707;0.098133;0.009467;0.284122
35;1;3;0.061362;0.145264;0.098903;0.009559;0.275830
35;1;3;0.048304;0.152824;0.102888;0.010879;0.290123
36;1;3;0.052175;0.148582;0.098791;0.009527;0.278886
36;1;3;0.061763;0.157710;0.105191;0.009396;0.296944
36;1;3;0.047950;0.144583;0.098094;0.009698;0.275165
37;1;3;0.050803;0.147079;0.099988;0.009327;0.278517
37;1;3;0.061336;0.141290;0.099355;0.009632;0.272940
37;1;3;0.047679;0.141246;0.098658;0.009365;0.271279
38;1;3;0.050985;0.148254;0.100846;0.009267;0.280104
38;1;3;0.061451;0.141696;0.100221;0.009506;0.272688
38;1;3;0.047895;0.138828;0.099293;0.009279;0.269377
39;1;3;0.051074;0.152939;0.100515;0.009264;0.285441
39;1;3;0.062307;0.138921;0.100071;0.009321;0.271699
39;1;3;0.047799;0.137076;0.099741;0.009193;0.268670
40;1;3;0.057250;0.167936;0.106829;0.009745;0.307419
40;1;3;0.070976;0.156627;0.118067;0.010128;0.310046
40;1;3;0.054083;0.169364;0.115409;0.009971;0.316910
41;1;3;0.056089;0.170055;0.172569;0.009600;0.407876
41;1;3;0.063931;0.147778;0.107041;0.009714;0.286929
41;1;3;0.049684;0.263191;0.106930;0.009390;0.401601
42;1;3;0.057529;0.161360;0.111831;0.011169;0.309545
42;1;3;0.064548;0.145170;0.112663;0.011463;0.291169
42;1;3;0.049824;0.139670;0.109121;0.009197;0.280331
43;1;3;0.053787;0.143718;0.106309;0.010158;0.281882
43;1;3;0.064281;0.141939;0.110852;0.009524;0.283855
43;1;3;0.048867;0.142866;0.106896;0.010076;0.284543
44;1;3;0.051627;0.145143;0.107469;0.009373;0.283430
44;1;3;0.064938;0.144106;0.127374;0.012329;0.313200
44;1;3;0.055794;0.154401;0.116562;0.010608;0.305375
45;1;3;0.055849;0.153724;0.118691;0.011211;0.308247
45;1;3;0.063955;0.151203;0.120291;0.009720;0.303007
45;1;3;0.050302;0.138249;0.109152;0.009245;0.276971
46;1;3;0.055836;0.156224;0.123181;0.010214;0.313550
46;1;3;0.069596;0.132710;0.105404;0.009277;0.267169
46;1;3;0.049795;0.131247;0.104999;0.009101;0.265939
47;1;3;0.052407;0.139109;0.107438;0.009435;0.275021
47;1;3;0.074056;0.138238;0.124796;0.010862;0.295084
47;1;3;0.048790;0.132549;0.110957;0.009451;0.271824
48;1;3;0.056228;0.145401;0.112339;0.009727;0.287088
48;1;3;0.070516;0.144446;0.116467;0.009790;0.290374
48;1;3;0.050245;0.133374;0.113627;0.009889;0.277923
49;1;3;0.055225;0.146469;0.115131;0.009316;0.289787
49;1;3;0.062607;0.127188;0.109157;0.009081;0.263576
49;1;3;0.047815;0.123521;0.109220;0.009930;0.261385
50;1;3;0.053423;0.129650;0.111270;0.009215;0.267952
50;1;3;0.062319;0.123865;0.106600;0.009023;0.257750
50;1;3;0.049185;0.122771;0.106669;0.009255;0.257595
51;1;3;0.051103;0.124109;0.106568;0.009239;0.257072
51;1;3;0.062015;0.121895;0.106521;0.009171;0.254923
51;1;3;0.047789;0.119640;0.106237;0.009011;0.252522
52;1;3;0.051203;0.121483;0.107224;0.009155;0.255565
52;1;3;0.061873;0.126724;0.108072;0.009113;0.261267
52;1;3;0.047743;0.120082;0.107757;0.009180;0.254055
53;1;3;0.050368;0.121107;0.107895;0.009087;0.254326
53;1;3;0.062015;0.119671;0.139880;0.009495;0.285677
53;1;3;0.048434;0.117565;0.107659;0.009096;0.250716
54;1;3;0.050632;0.119458;0.107841;0.009217;0.253349
54;1;3;0.061952;0.119000;0.107602;0.009171;0.252180
54;1;3;0.048020;0.117197;0.108648;0.009283;0.251629
55;1;3;0.051335;0.123222;0.112723;0.009386;0.261725
55;1;3;0.062129;0.117134;0.108968;0.009083;0.250880
55;1;3;0.054493;0.118473;0.108828;0.009188;0.252500
56;1;3;0.051168;0.120957;0.108292;0.009206;0.253042
56;1;3;0.074464;0.117925;0.108061;0.009094;0.252156
56;1;3;0.047898;0.114936;0.109313;0.009274;0.248796
57;1;3;0.050620;0.133268;0.127004;0.009493;0.285752
57;1;3;0.061664;0.118591;0.117595;0.010313;0.263818
57;1;3;0.050959;0.126400;0.117390;0.009601;0.268655
58;1;3;0.056108;0.139733;0.123466;0.009682;0.287366
58;1;3;0.064239;0.123630;0.114982;0.009559;0.263022
58;1;3;0.048302;0.119870;0.116195;0.009563;0.260914
